_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
526,Yes,... < 0 DM,12,existing credits paid back duly till now,radio/television,701,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,No,Yes
527,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2930,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,No,Yes
528,Yes,no checking account,18,existing credits paid back duly till now,radio/television,1505,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
529,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2238,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee / official,1,No,Yes
530,Yes,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,< 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,No,Yes
531,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,43,none,own,2,skilled employee / official,2,Yes,Yes
532,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled - resident,1,Yes,Yes
533,Yes,... < 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,< 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
534,Yes,... < 0 DM,18,existing credits paid back duly till now,radio/television,2389,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car or other,27,stores,own,1,skilled employee / official,1,No,Yes
535,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,1967,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,car or other,20,none,own,1,skilled employee / official,1,Yes,Yes
536,Yes,no checking account,4,critical account/ other credits existing (not at this bank),car (new),3380,< 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,1,real estate,37,none,own,1,skilled employee / official,2,No,Yes
537,Yes,no checking account,4,critical account/ other credits existing (not at this bank),car (new),1455,< 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,No,Yes
538,Yes,no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,>= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,Yes,Yes
539,Yes,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee / official,1,Yes,Yes
540,No,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1670,< 100 DM,< 1 year,4,female : divorced/separated/married,none,2,car or other,22,none,own,1,skilled employee / official,1,Yes,Yes
541,Yes,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,1,car or other,41,none,own,2,skilled employee / official,2,Yes,Yes
542,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,1,No,Yes
543,Yes,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,No,Yes
544,Yes,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,< 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,No,Yes
545,Yes,0 <= ... < 200 DM,8,existing credits paid back duly till now,business,907,< 100 DM,< 1 year,3,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,Yes,Yes
546,Yes,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,1715,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,26,none,own,1,skilled employee / official,1,No,Yes
547,Yes,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,Yes,Yes
548,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,>= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,No,Yes
549,Yes,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee / official,1,Yes,Yes
550,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,< 100 DM,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,Yes,Yes
551,Yes,no checking account,12,critical account/ other credits existing (not at this bank),education,2096,< 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,No,Yes
552,Yes,no checking account,12,existing credits paid back duly till now,car (new),1101,< 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,Yes,Yes
553,Yes,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,Yes,Yes
554,Yes,0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,>= 1000 DM,< 1 year,4,female : divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,No,Yes
555,Yes,no checking account,33,delay in paying off in the past,business,2764,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee / official,1,Yes,Yes
556,Yes,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,500 <= ... < 1000 DM,< 1 year,1,female : divorced/separated/married,none,1,car or other,30,none,own,2,skilled employee / official,1,No,Yes
557,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
558,Yes,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
559,Yes,0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,>= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,Yes,Yes
560,Yes,no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,< 1 year,2,male : divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,Yes,Yes
561,Yes,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,< 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,27,none,own,2,skilled employee / official,1,No,Yes
562,No,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,< 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
563,Yes,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,100 <= ... < 500 DM,>= 7 years,4,female : divorced/separated/married,none,2,unknown / no property,47,none,for free,1,skilled employee / official,1,Yes,Yes
564,Yes,no checking account,30,delay in paying off in the past,business,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,26,none,own,2,unskilled - resident,1,No,Yes
565,Yes,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,Yes,Yes
566,Yes,0 <= ... < 200 DM,36,delay in paying off in the past,business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,own,2,unskilled - resident,2,Yes,Yes
567,Yes,no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,52,none,own,2,unskilled - resident,1,No,Yes
568,Yes,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,< 100 DM,>= 7 years,4,male : single,none,4,real estate,43,none,own,3,skilled employee / official,1,Yes,Yes
569,Yes,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,car or other,37,stores,own,1,skilled employee / official,1,Yes,Yes
570,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1330,< 100 DM,< 1 year,4,male : single,none,1,real estate,26,none,own,1,skilled employee / official,1,No,Yes
571,Yes,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,Yes,Yes
572,Yes,0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,< 100 DM,< 1 year,2,male : single,none,3,car or other,30,none,own,2,skilled employee / official,1,No,Yes
573,Yes,0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,>= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,34,stores,own,1,skilled employee / official,2,Yes,Yes
574,Yes,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
575,Yes,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,car or other,48,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
576,No,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,< 100 DM,>= 7 years,4,male : single,none,2,car or other,42,none,own,1,skilled employee / official,2,No,Yes
577,No,... < 0 DM,12,existing credits paid back duly till now,education,684,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,40,none,rent,1,unskilled - resident,2,No,Yes
578,No,... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee / official,1,No,Yes
579,No,... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
580,No,... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,< 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,car or other,24,bank,rent,1,unskilled - resident,1,No,Yes
581,No,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,male : divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,No,Yes
582,No,no checking account,24,existing credits paid back duly till now,radio/television,3621,100 <= ... < 500 DM,>= 7 years,2,male : single,none,4,car or other,31,none,own,2,skilled employee / official,1,No,Yes
583,No,... < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,No,Yes
584,No,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,53,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
585,Yes,... < 0 DM,24,existing credits paid back duly till now,car (used),2910,< 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
586,Yes,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,< 100 DM,>= 7 years,2,male : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
587,Yes,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,< 100 DM,1 <= ... < 4 years,1,male : single,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,2,No,Yes
588,Yes,... < 0 DM,18,existing credits paid back duly till now,radio/television,3509,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,No,Yes
589,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3017,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,real estate,34,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
590,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee / official,1,No,Yes
591,Yes,... < 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,< 100 DM,>= 7 years,3,male : single,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
592,No,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,< 100 DM,< 1 year,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,Yes,Yes
593,No,... < 0 DM,24,all credits at this bank paid back duly,car (new),1193,< 100 DM,unemployed,1,female : divorced/separated/married,co-applicant,4,unknown / no property,29,none,rent,2,unemployed/ unskilled - non-resident,1,No,Yes
594,Yes,... < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,< 100 DM,1 <= ... < 4 years,2,male : divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,No,Yes
595,Yes,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,< 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,No,Yes
596,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,< 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,No,Yes
597,Yes,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,< 100 DM,>= 7 years,4,male : single,none,4,real estate,65,none,own,2,skilled employee / official,1,No,Yes
598,Yes,... < 0 DM,30,existing credits paid back duly till now,radio/television,2522,< 100 DM,>= 7 years,1,male : single,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,No,Yes
599,No,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,< 100 DM,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,No,Yes
600,No,... < 0 DM,36,existing credits paid back duly till now,car (used),8229,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,No,Yes
601,Yes,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,< 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,30,none,own,2,unskilled - resident,1,No,Yes
602,Yes,... < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
603,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,< 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,No,Yes
604,No,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,< 100 DM,>= 7 years,2,male : single,none,2,building society savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,No,Yes
605,Yes,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,< 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,3,building society savings agreement/ life insurance,25,none,own,2,skilled employee / official,1,No,Yes
606,Yes,0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,< 100 DM,unemployed,4,male : single,none,1,building society savings agreement/ life insurance,35,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,No
607,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,No,Yes
608,Yes,... < 0 DM,48,existing credits paid back duly till now,car (used),4788,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,No,Yes
609,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= ... < 500 DM,>= 7 years,4,male : single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,1,No,Yes
610,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),836,100 <= ... < 500 DM,< 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,bank,own,1,unskilled - resident,1,No,Yes
611,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,< 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,1,car or other,42,none,own,1,skilled employee / official,1,No,Yes
612,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1620,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,co-applicant,3,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,No,Yes
613,Yes,... < 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,< 100 DM,< 1 year,4,female : divorced/separated/married,guarantor,1,building society savings agreement/ life insurance,46,none,rent,1,skilled employee / official,1,No,Yes
614,Yes,... < 0 DM,24,existing credits paid back duly till now,car (used),6579,< 100 DM,unemployed,4,male : single,none,2,unknown / no property,29,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
615,Yes,... < 0 DM,12,existing credits paid back duly till now,car (new),1893,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,Yes,Yes
616,Yes,... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,< 100 DM,>= 7 years,3,male : single,none,4,unknown / no property,38,none,for free,3,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
617,Yes,... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
618,No,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,< 100 DM,< 1 year,2,male : divorced/separated,none,4,building society savings agreement/ life insurance,31,none,own,1,unskilled - resident,1,No,Yes
619,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,< 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,47,none,own,2,unskilled - resident,2,No,Yes
620,Yes,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,Yes,Yes
621,Yes,no checking account,24,critical account/ other credits existing (not at this bank),others,6314,< 100 DM,unemployed,4,male : single,co-applicant,2,unknown / no property,27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
622,Yes,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
623,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,< 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2,No,Yes
624,Yes,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,< 100 DM,unemployed,2,male : single,none,4,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
625,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,1872,< 100 DM,unemployed,4,male : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
626,Yes,no checking account,12,existing credits paid back duly till now,car (new),2859,unknown/ no savings account,unemployed,4,male : single,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
627,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,>= 1000 DM,>= 7 years,4,male : single,none,4,car or other,46,none,own,2,skilled employee / official,1,No,Yes
628,Yes,no checking account,6,existing credits paid back duly till now,retraining,1238,unknown/ no savings account,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
629,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,< 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
630,Yes,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee / official,1,No,Yes
631,Yes,... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,< 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,No,Yes
632,Yes,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,No,Yes
633,Yes,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3959,< 100 DM,unemployed,4,male : single,none,3,building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
634,Yes,... < 0 DM,36,existing credits paid back duly till now,car (new),3249,< 100 DM,4 <= ... < 7 years,2,male : single,none,4,unknown / no property,39,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
635,Yes,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,< 100 DM,< 1 year,4,male : single,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,No,Yes
636,No,... < 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,< 100 DM,>= 7 years,3,male : single,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,No,Yes
637,Yes,... < 0 DM,13,critical account/ other credits existing (not at this bank),business,1797,< 100 DM,< 1 year,3,male : single,none,1,building society savings agreement/ life insurance,28,bank,own,2,unskilled - resident,1,No,Yes
638,Yes,... < 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,No,Yes
639,Yes,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,< 100 DM,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,Yes,Yes
640,Yes,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,2348,< 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,building society savings agreement/ life insurance,46,none,own,2,skilled employee / official,1,Yes,Yes
641,Yes,... >= 200 DM / salary assignments for at least 1 year,42,no credits taken/ all credits paid back duly,business,6289,< 100 DM,< 1 year,2,male : divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,2,skilled employee / official,1,No,Yes
642,Yes,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
643,No,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,No,Yes
644,Yes,no checking account,24,critical account/ other credits existing (not at this bank),education,1597,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,No,Yes
645,Yes,... < 0 DM,36,existing credits paid back duly till now,others,15857,< 100 DM,unemployed,2,male : divorced/separated,co-applicant,3,car or other,43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
646,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= ... < 500 DM,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,52,bank,own,2,skilled employee / official,1,No,Yes
647,Yes,no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,>= 7 years,3,male : single,none,3,car or other,32,bank,own,2,skilled employee / official,2,No,Yes
648,Yes,0 <= ... < 200 DM,30,delay in paying off in the past,business,2503,100 <= ... < 500 DM,>= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,41,stores,own,2,skilled employee / official,1,No,Yes
649,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,own,1,skilled employee / official,1,No,Yes
650,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,Yes,Yes
651,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,No,Yes
652,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1,No,Yes
653,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,No,Yes
654,Yes,0 <= ... < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,Yes,Yes
655,Yes,0 <= ... < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,>= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,1,No,Yes
